msgTime,liquidLevelValue,liquidLevel_clean,is_outlier,liquidLevel_clean_smooth,roll_slope,mask_final,is_drain
2025-06-15 08:00:00,0.0,0.0,0.0,0.0,,False,False
2025-06-15 11:00:00,0.027,0.027,0.0,0.027,,False,False
2025-06-15 12:00:00,0.0,0.0,0.0,0.0,,False,False
2025-06-15 13:00:00,0.0,0.0,0.0,0.0,,False,False
2025-06-15 14:00:00,0.046,0.046,0.0,0.046,,False,False
2025-06-15 16:00:00,0.1,0.1,0.0,0.1,0.010910714285244365,False,False
2025-06-15 18:00:00,0.04,0.04,0.0,0.04,0.008205882352846701,False,False
2025-06-15 19:00:00,0.106,0.106,0.0,0.106,0.012728813558909138,False,False
2025-06-15 20:00:00,0.169,0.169,0.0,0.169,0.01715254237306757,False,False
2025-06-15 21:00:00,0.01,0.01,0.0,0.01,0.002647058823582349,False,False
2025-06-15 22:00:00,0.067,0.067,0.0,0.067,-0.0048857142858511286,False,False
2025-06-16 05:00:00,3.29,3.29,0.0,2.3,0.21445161290047784,False,False
2025-06-16 06:00:00,2.706,2.706,0.0,2.706,0.2559030837000441,False,False
2025-06-16 07:00:00,2.3,2.3,0.0,2.3,0.2523346613537719,False,False
2025-06-16 08:00:00,1.8,1.8,0.0,1.8,0.2284713656383519,False,False
2025-06-16 09:00:00,1.8,1.8,0.0,1.8,0.18000645161506296,False,False
2025-06-16 10:00:00,1.9,1.9,0.0,1.9,-0.1490857142834435,False,False
2025-06-16 11:00:00,1.953,1.953,0.0,1.953,-0.14185714285754236,False,False
2025-06-16 12:00:00,0.531,0.531,0.0,1.953,-0.03360000000065166,False,False
2025-06-17 00:00:00,2.069,2.069,0.0,2.069,0.015288461538438913,False,False
2025-06-17 01:00:00,2.113,2.113,0.0,2.113,0.014298563397877766,False,False
2025-06-17 02:00:00,2.1,2.1,0.0,2.069,0.010630872483099634,False,False
2025-06-17 03:00:00,1.825,1.825,0.0,1.825,0.0031630231105094727,False,False
2025-06-17 04:00:00,0.928,0.928,0.0,0.928,-0.02507115384687931,False,False
