code,start,end,label
157B025010006,2025-06-16 01:00:00,2025-06-16 01:00:00,anomaly
157B025010006,2025-06-17 00:00:00,2025-06-17 00:00:00,anomaly
157B025010006,2025-06-18 00:00:00,2025-06-18 00:00:00,anomaly
157B025010006,2025-06-19 04:00:00,2025-06-19 04:00:00,anomaly
157B025010006,2025-06-25 00:00:00,2025-06-25 01:00:00,anomaly
157B025010006,2025-06-26 03:00:00,2025-06-26 03:00:00,anomaly
157B025010006,2025-06-27 00:00:00,2025-06-27 00:00:00,anomaly
157B025010006,2025-06-29 00:00:00,2025-06-29 01:00:00,anomaly
157B025010006,2025-07-03 23:00:00,2025-07-03 23:00:00,anomaly
157B025010006,2025-07-04 23:00:00,2025-07-04 23:00:00,anomaly
157B025010006,2025-07-05 23:00:00,2025-07-05 23:00:00,anomaly
157B025010006,2025-07-06 23:00:00,2025-07-07 00:00:00,anomaly
157B025010006,2025-07-08 00:00:00,2025-07-08 00:00:00,anomaly
157B025010006,2025-07-09 01:00:00,2025-07-09 01:00:00,anomaly
157B025010006,2025-07-11 01:00:00,2025-07-11 02:00:00,anomaly
157B025010006,2025-07-11 23:00:00,2025-07-11 23:00:00,anomaly
157B025010006,2025-07-13 22:00:00,2025-07-13 23:00:00,anomaly
157B025010006,2025-07-14 23:00:00,2025-07-14 23:00:00,anomaly
157B025010006,2025-07-18 22:00:00,2025-07-18 23:00:00,anomaly
157B025010006,2025-07-19 03:00:00,2025-07-19 03:00:00,anomaly
157B025010006,2025-07-19 22:00:00,2025-07-19 22:00:00,anomaly
157B025010017,2025-06-17 01:00:00,2025-06-17 01:00:00,anomaly
157B025010017,2025-06-18 23:00:00,2025-06-18 23:00:00,anomaly
157B025010017,2025-06-28 23:00:00,2025-06-28 23:00:00,anomaly
157B025010017,2025-06-29 02:00:00,2025-06-29 02:00:00,anomaly
157B025010017,2025-07-01 03:00:00,2025-07-01 03:00:00,anomaly
157B025010017,2025-07-11 02:00:00,2025-07-11 02:00:00,anomaly
157B025010017,2025-07-13 22:00:00,2025-07-14 00:00:00,anomaly
157B025010017,2025-07-14 23:00:00,2025-07-14 23:00:00,anomaly
